CategoryID,Category Path
182061,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Accessori vintage > Ventagli"
91247,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Altro vintage"
182040,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Abiti completi"
182026,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Abiti da battesimo"
20291,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Altro abbigliamento bambino"
182964,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Bavaglini e mussoline"
182037,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Biancheria da notte"
182030,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Body e pagliaccetti"
182038,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Calzini e calze"
182031,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Cappotti e giacche"
182032,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Completi e set"
182042,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Felpe e tute"
182039,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Giacche da completo e blazer"
182967,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Gilet"
182036,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Gonne"
182029,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Jeans"
182041,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Maglioni e cardigan"
182966,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Mare e piscina"
182035,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Pantaloncini"
182033,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Pantaloni"
182965,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Sottogonne e sottovesti"
182043,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > T-shirt, maglie e camicie"
182027,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: abbigliamento vintage > Vestiti"
182034,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Bambini: scarpe vintage"
965,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Altro abbigliamento donna vintage"
175789,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Biancheria da notte"
182057,"Abbigliamento e accessori > Occasioni speciali > Abbigliamento e accessori vintage > Donna: abbigliamento vintage > Calzini"
